Date,Close/Last,Volume,Open,High,Low
12/21/2021,$264.88,2702522,$264.00,$265.95,$260.57
12/20/2021,$263.48,3479415,$269.23,$270.005,$260.35
12/17/2021,$267.42,7588876,$276.67,$276.67,$265.3346
12/16/2021,$279.04,5546435,$275.67,$283.905,$272.05
12/15/2021,$275.28,10016680,$262.07,$275.54,$257.2098
12/14/2021,$249.38,3423994,$247.74,$250.01,$246.39
12/13/2021,$248.53,3016836,$245.51,$250.70,$245.46
12/10/2021,$244.14,2380759,$241.20,$244.585,$241.20
12/09/2021,$242.90,2291050,$244.49,$245.91,$242.75
12/08/2021,$244.32,3636201,$246.61,$248.1815,$239.47
12/07/2021,$245.11,4035797,$244.24,$245.435,$241.45
12/06/2021,$246.33,3491184,$245.92,$246.94,$241.53
12/03/2021,$245.58,4169687,$252.13,$253.48,$243.08
12/02/2021,$247.88,3817784,$246.52,$249.98,$245.12
12/01/2021,$249.13,3241515,$249.44,$255.2991,$247.89
11/30/2021,$248.04,8265918,$253.27,$254.00,$246.48
11/29/2021,$254.83,4041677,$260.02,$262.32,$254.50
11/26/2021,$260.37,1495480,$261.80,$265.88,$259.03
11/24/2021,$262.00,2518580,$262.77,$264.94,$260.05
11/23/2021,$261.96,1986326,$259.47,$262.76,$259.25
11/22/2021,$260.44,1997790,$262.22,$263.9899,$259.13
11/19/2021,$260.70,2788210,$266.43,$270.80,$260.30
11/18/2021,$261.33,1689635,$262.00,$263.80,$259.82
11/17/2021,$261.18,2873559,$256.81,$264.55,$256.07
11/16/2021,$257.72,2565741,$256.96,$260.35,$255.99
11/15/2021,$258.43,1903164,$259.39,$259.61,$257.16
11/12/2021,$259.65,1964191,$261.78,$262.52,$258.93
11/11/2021,$262.63,1739439,$262.32,$264.32,$261.95
11/10/2021,$264.65,2215238,$262.00,$266.00,$261.60
11/09/2021,$262.02,1963849,$260.53,$262.16,$258.39
11/08/2021,$260.53,2386204,$263.99,$266.91,$259.155
11/05/2021,$265.00,3745717,$268.99,$269.49,$258.56
11/04/2021,$271.00,4133581,$265.48,$271.11,$265.27
11/03/2021,$266.26,4382930,$257.77,$266.79,$257.76
11/02/2021,$256.85,3987869,$251.25,$259.30,$249.40
11/01/2021,$249.31,2735846,$255.11,$256.48,$248.05
10/29/2021,$254.76,3152015,$253.78,$256.47,$251.77
10/28/2021,$253.35,3386510,$250.16,$256.75,$250.08
10/27/2021,$250.17,3181498,$248.61,$254.46,$248.32
10/26/2021,$248.44,4532952,$244.50,$248.92,$237.09
10/25/2021,$245.05,2763099,$244.66,$246.2667,$240.52
10/22/2021,$243.75,1960703,$240.96,$244.04,$239.56
10/21/2021,$241.17,1717891,$244.95,$244.95,$239.834
10/20/2021,$243.72,1537772,$243.73,$245.90,$243.04
10/19/2021,$242.31,1573492,$239.06,$242.55,$239.06
10/18/2021,$238.98,2545987,$237.95,$242.66,$236.70
10/15/2021,$237.88,2598357,$237.42,$239.2986,$235.82
10/14/2021,$236.69,1824765,$237.01,$238.44,$234.11
10/13/2021,$236.44,2105892,$234.07,$237.92,$232.80
10/12/2021,$232.78,1719458,$234.70,$235.07,$231.98
10/11/2021,$233.67,1892511,$236.70,$237.99,$233.60
10/08/2021,$233.94,2563117,$233.42,$235.81,$231.55
10/07/2021,$233.18,2001803,$229.12,$234.11,$229.00
10/06/2021,$227.85,2462722,$230.56,$230.85,$226.05
10/05/2021,$230.93,2802025,$226.44,$232.56,$226.1747
10/04/2021,$224.85,4784747,$227.80,$230.19,$224.22
10/01/2021,$229.59,2215772,$231.00,$231.68,$225.45
09/30/2021,$231.05,3787048,$232.78,$237.16,$230.80
09/29/2021,$230.36,3971031,$225.41,$231.44,$224.56
09/28/2021,$221.60,3583251,$226.39,$226.40,$220.20
09/27/2021,$226.40,2785922,$229.97,$231.06,$225.613
09/24/2021,$231.68,1642578,$232.77,$235.385,$231.34
09/23/2021,$232.18,1912322,$229.30,$234.20,$229.01
09/22/2021,$228.30,2529635,$230.00,$231.03,$227.58
09/21/2021,$230.17,2172825,$232.06,$233.72,$229.74
09/20/2021,$231.64,2803437,$228.09,$232.73,$227.29
09/17/2021,$230.10,4480241,$229.71,$230.83,$228.23
09/16/2021,$231.04,2958684,$234.08,$234.69,$229.73
09/15/2021,$233.73,2802576,$233.58,$239.38,$233.06
09/14/2021,$233.09,3825977,$238.72,$239.7939,$231.98
09/13/2021,$237.96,2832834,$240.04,$241.15,$235.15
09/10/2021,$239.50,4633548,$242.20,$243.89,$238.57
09/09/2021,$240.00,4976593,$253.29,$254.02,$239.67
09/08/2021,$254.84,1542529,$254.60,$255.71,$253.68
09/07/2021,$254.80,2403689,$259.00,$260.82,$254.41
09/03/2021,$259.53,1124527,$260.83,$260.99,$256.7836
09/02/2021,$259.57,1469713,$257.41,$259.73,$256.47
09/01/2021,$257.40,2956822,$258.54,$258.77,$254.49
08/31/2021,$258.29,2733435,$262.84,$263.635,$257.86
08/30/2021,$262.31,1300723,$261.03,$264.07,$259.61
08/27/2021,$259.75,1839899,$262.52,$263.1257,$258.58
08/26/2021,$261.32,1732985,$264.00,$265.59,$260.58
08/25/2021,$263.87,2388585,$262.78,$264.52,$261.29
08/24/2021,$262.77,3736297,$266.20,$267.44,$261.78
08/23/2021,$267.82,2438890,$272.30,$272.91,$267.70
08/20/2021,$270.91,1536829,$269.38,$272.8665,$269.06
08/19/2021,$270.40,1901013,$266.15,$271.8475,$265.43
08/18/2021,$268.52,2527494,$272.01,$274.76,$268.03
08/17/2021,$272.71,2096073,$271.16,$275.87,$267.18
08/16/2021,$269.94,2623287,$264.88,$270.26,$264.265
08/13/2021,$264.21,1482410,$263.15,$265.69,$263.02
08/12/2021,$263.47,2100876,$263.20,$264.535,$261.49
08/11/2021,$264.10,2813289,$269.59,$270.94,$262.66
08/10/2021,$269.45,2060223,$266.75,$271.08,$266.18
08/09/2021,$267.16,3238463,$264.58,$273.04,$264.50
08/06/2021,$263.44,2155214,$263.51,$264.27,$260.74
08/05/2021,$264.19,2262446,$263.28,$265.51,$261.33
08/04/2021,$262.47,3892600,$256.00,$270.65,$255.42
08/03/2021,$255.99,5406183,$244.75,$259.37,$243.50
08/02/2021,$246.60,1958943,$245.73,$247.885,$244.25
07/30/2021,$243.50,1905119,$244.90,$245.95,$242.63
07/29/2021,$245.33,1924383,$247.50,$248.24,$242.2401
07/28/2021,$246.51,1688130,$243.37,$248.40,$242.64
07/27/2021,$243.58,2116551,$243.71,$244.06,$242.66
07/26/2021,$243.21,2678920,$242.57,$245.28,$242.57
07/23/2021,$244.15,2448303,$239.28,$244.55,$238.56
07/22/2021,$238.49,1703495,$237.28,$239.70,$236.37
07/21/2021,$237.29,1651502,$236.38,$237.37,$233.59
07/20/2021,$235.02,2297813,$235.00,$237.75,$233.935
07/19/2021,$234.14,2305943,$231.88,$234.30,$230.57
07/16/2021,$232.46,2229059,$232.50,$233.04,$231.21
07/15/2021,$231.47,3611300,$235.01,$235.99,$230.69
07/14/2021,$236.35,2103449,$235.79,$237.23,$234.73
07/13/2021,$235.30,1974044,$235.98,$236.65,$234.03
07/12/2021,$236.01,2928611,$235.17,$238.00,$235.15
07/09/2021,$234.99,4030341,$237.17,$238.4717,$232.75
07/08/2021,$237.12,2431482,$233.83,$237.27,$232.10
07/07/2021,$235.82,3141508,$234.68,$236.59,$233.46
07/06/2021,$235.42,3125526,$233.63,$235.575,$233.2301
07/02/2021,$233.96,1994140,$231.97,$234.21,$231.33
07/01/2021,$231.13,1977362,$229.51,$231.50,$228.66
