Date,Close/Last,Volume,Open,High,Low
02/17/2022,$51.225,1578250,$51.69,$51.755,$51.1718
02/16/2022,$51.585,2010630,$50.785,$51.675,$50.78
02/15/2022,$50.68,1890088,$50.335,$51.09,$50.335
02/14/2022,$49.07,3157750,$48.79,$49.33,$48.64
02/11/2022,$49.455,3747382,$50.87,$50.96,$49.095
02/10/2022,$52.03,1889868,$52.30,$53.19,$51.885
02/09/2022,$52.96,2559642,$52.15,$53.03,$52.12
02/08/2022,$50.775,1945834,$50.635,$50.855,$50.315
02/07/2022,$50.88,2094848,$50.385,$51.385,$50.25
02/04/2022,$49.835,5665024,$50.82,$51.075,$49.59
02/03/2022,$52.315,3937892,$52.04,$52.65,$51.95
02/02/2022,$53.295,4395618,$53.16,$53.585,$52.755
02/01/2022,$51.30,4038850,$50.68,$51.39,$50.33
01/31/2022,$49.935,2890264,$49.115,$50.035,$49.035
01/28/2022,$48.38,1981344,$47.95,$48.46,$47.54
01/27/2022,$47.72,2640624,$47.7325,$48.345,$47.50
01/26/2022,$46.55,3709286,$47.265,$47.525,$46.345
01/25/2022,$47.58,5164944,$47.095,$47.935,$46.995
01/24/2022,$47.72,5764800,$46.40,$47.83,$45.755
01/21/2022,$47.68,2700322,$47.98,$48.445,$47.5625
01/20/2022,$47.73,4022628,$47.99,$48.699,$47.695
01/19/2022,$48.645,2053078,$48.85,$49.30,$48.4872
01/18/2022,$48.195,2289914,$47.835,$48.45,$47.73
01/14/2022,$48.16,4927778,$48.525,$49.05,$47.6815
01/13/2022,$49.78,1931300,$50.39,$50.44,$49.5889
01/12/2022,$50.375,2445270,$50.065,$50.55,$50.03
01/11/2022,$50.61,2404472,$50.35,$50.655,$49.83
01/10/2022,$50.895,2980216,$50.065,$50.96,$49.82
01/07/2022,$50.745,7812334,$50.275,$50.975,$50.27
01/06/2022,$51.43,6665854,$50.36,$51.98,$50.135
01/05/2022,$51.27,2874406,$52.3925,$52.64,$51.27
01/04/2022,$53.07,5726352,$51.935,$53.155,$51.766
01/03/2022,$54.395,2312556,$54.825,$54.86,$53.86
12/31/2021,$56.00,1514604,$55.93,$56.455,$55.84
12/30/2021,$55.725,1623234,$55.80,$56.2575,$55.685
12/29/2021,$55.58,1344096,$54.95,$55.60,$54.68
12/28/2021,$55.39,1675438,$56.005,$56.04,$55.175
12/27/2021,$55.815,2262392,$55.385,$56.09,$55.17
12/23/2021,$54.215,2411194,$54.325,$55.205,$54.1775
12/22/2021,$54.95,3649760,$54.33,$55.085,$54.235
12/21/2021,$53.105,5111504,$52.385,$53.235,$51.995
12/20/2021,$51.765,5956800,$52.065,$52.3325,$51.045
12/17/2021,$53.725,11552650,$57.855,$58.26,$53.2843
12/16/2021,$58.54,1533370,$58.16,$58.675,$58.00
12/15/2021,$58.23,1635796,$56.56,$58.24,$56.545
12/14/2021,$56.41,2097060,$56.655,$56.70,$56.1155
12/13/2021,$57.85,1269346,$57.635,$58.065,$57.50
12/10/2021,$57.175,1186268,$56.72,$57.275,$56.72
12/09/2021,$56.77,2564182,$56.92,$57.10,$56.675
12/08/2021,$56.705,2400064,$56.28,$56.73,$55.545
12/07/2021,$55.08,1346112,$54.44,$55.10,$54.4355
12/06/2021,$53.875,1815000,$54.07,$54.245,$53.435
12/03/2021,$53.54,1523132,$54.635,$54.7151,$53.03
12/02/2021,$53.32,1583278,$53.265,$53.605,$53.11
12/01/2021,$53.64,1420968,$53.605,$54.375,$53.51
11/30/2021,$53.415,2255362,$54.245,$54.545,$53.10
11/29/2021,$54.145,1329466,$53.72,$54.49,$53.535
11/26/2021,$54.085,1688626,$54.34,$54.525,$54.00
11/24/2021,$54.52,1139612,$54.325,$54.53,$53.945
11/23/2021,$54.71,2006090,$54.265,$54.895,$54.135
11/22/2021,$55.615,1343308,$56.435,$56.475,$55.595
11/19/2021,$56.935,1449940,$57.31,$57.48,$56.875
11/18/2021,$57.515,1773244,$57.63,$57.845,$57.21
11/17/2021,$57.205,1118318,$57.30,$57.545,$57.125
11/16/2021,$56.995,1143678,$56.85,$57.325,$56.75
11/15/2021,$56.745,1118082,$56.67,$57.03,$56.65
11/12/2021,$56.55,1100056,$56.52,$56.70,$56.015
11/11/2021,$56.705,2071322,$56.865,$56.935,$56.40
11/10/2021,$56.355,1934378,$56.815,$56.995,$56.19
11/09/2021,$57.06,1381954,$57.295,$57.35,$56.9225
11/08/2021,$57.35,1904750,$57.60,$57.785,$56.97
11/05/2021,$56.71,2355206,$56.155,$56.715,$56.02
11/04/2021,$57.925,2075406,$57.815,$57.965,$57.28
11/03/2021,$57.78,4348390,$55.91,$57.975,$55.865
11/02/2021,$55.025,2353898,$55.08,$55.615,$54.92
11/01/2021,$54.72,1694842,$54.79,$54.955,$54.5044
10/29/2021,$55.065,2138756,$54.695,$55.17,$54.42
10/28/2021,$53.825,1797406,$53.27,$54.165,$53.27
10/27/2021,$52.84,1412494,$53.375,$53.5375,$52.7514
10/26/2021,$53.675,1564420,$52.725,$53.855,$52.725
10/25/2021,$53.085,1313806,$53.19,$53.2227,$52.885
10/22/2021,$53.005,1240102,$52.715,$53.045,$52.695
10/21/2021,$52.205,1571282,$52.115,$52.29,$51.91
10/20/2021,$52.275,1277440,$52.325,$52.67,$51.895
10/19/2021,$52.325,1750920,$51.675,$52.5325,$51.675
10/18/2021,$51.715,2803600,$51.70,$52.07,$51.57
10/15/2021,$51.17,1877868,$50.61,$51.37,$50.53
10/14/2021,$50.22,1287912,$50.485,$50.57,$50.175
10/13/2021,$50.30,1804320,$49.645,$50.43,$49.645
10/12/2021,$48.82,1344514,$49.18,$49.26,$48.565
10/11/2021,$49.20,843700,$49.155,$49.345,$49.05
10/08/2021,$49.19,1219166,$49.455,$49.565,$49.055
10/07/2021,$49.19,1664560,$48.815,$49.50,$48.78
10/06/2021,$48.275,1576142,$48.515,$48.53,$47.8201
10/05/2021,$48.715,2098344,$49.10,$49.155,$48.70
10/04/2021,$48.47,1987698,$48.77,$48.90,$48.105
10/01/2021,$47.94,1645754,$47.825,$48.045,$47.445
09/30/2021,$48.005,2238914,$48.375,$48.59,$47.985
09/29/2021,$48.05,1665638,$48.205,$48.48,$47.765
09/28/2021,$47.69,3058410,$48.31,$48.31,$47.415
