Date,Close/Last,Volume,Open,High,Low
10/02/2023,$145.19,5153808,$144.78,$145.60,$143.90
09/29/2023,$145.86,6683279,$146.54,$146.77,$144.82
09/28/2023,$146.34,6237072,$147.815,$147.98,$145.68
09/27/2023,$147.34,5403675,$149.42,$149.70,$146.63
09/26/2023,$149.32,6366545,$149.98,$150.36,$148.785
09/25/2023,$150.66,5527129,$151.18,$151.28,$150.02
09/22/2023,$151.58,6328163,$152.44,$153.34,$151.38
09/21/2023,$152.14,5098146,$153.45,$153.71,$152.065
09/20/2023,$153.47,5446571,$153.77,$154.775,$153.36
09/19/2023,$153.60,4704209,$153.75,$154.06,$151.7433
09/18/2023,$154.05,3536490,$154.45,$154.475,$153.505
09/15/2023,$153.47,10262390,$154.03,$155.32,$153.23
09/14/2023,$154.77,4606909,$153.845,$154.92,$153.37
09/13/2023,$153.09,4040670,$151.975,$153.59,$151.66
09/12/2023,$152.03,4537794,$154.99,$155.15,$151.57
09/11/2023,$154.75,4288731,$153.33,$155.10,$153.08
09/08/2023,$152.93,3384760,$153.42,$153.455,$152.35
09/07/2023,$153.59,4825042,$152.485,$154.19,$152.37
09/06/2023,$152.14,3877460,$152.29,$152.45,$151.54
09/05/2023,$152.44,5097037,$153.80,$154.85,$152.3975
09/01/2023,$154.51,4126437,$154.90,$155.28,$153.56
08/31/2023,$154.34,5451433,$154.12,$155.16,$153.83
08/30/2023,$154.04,3712241,$154.10,$154.865,$153.71
08/29/2023,$153.87,4034627,$153.95,$154.04,$152.03
08/28/2023,$153.78,3614733,$153.71,$154.37,$153.05
08/25/2023,$153.54,3541524,$153.40,$154.08,$152.46
08/24/2023,$152.54,4089013,$152.55,$154.68,$152.48
08/23/2023,$153.25,4522673,$152.47,$153.48,$152.47
08/22/2023,$151.83,4195967,$151.42,$152.1538,$150.93
08/21/2023,$151.77,4504747,$152.09,$152.78,$151.26
08/18/2023,$152.54,5448262,$151.62,$152.89,$151.17
08/17/2023,$152.11,6419615,$153.21,$153.555,$151.79
08/16/2023,$153.21,6356849,$154.76,$155.73,$152.87
08/15/2023,$154.79,6921105,$155.79,$155.97,$154.46
08/14/2023,$155.79,4297598,$157.13,$157.53,$155.50
08/11/2023,$157.02,3862326,$156.43,$157.464,$155.79
08/10/2023,$156.11,4307834,$157.17,$158.38,$155.80
08/09/2023,$156.89,4293200,$157.31,$158.09,$156.77
08/08/2023,$157.09,4625619,$157.28,$157.63,$156.5309
08/07/2023,$156.92,4107366,$155.67,$157.15,$155.49
08/04/2023,$155.28,4785929,$157.425,$157.73,$155.15
08/03/2023,$157.00,5792784,$156.76,$157.70,$156.21
08/02/2023,$156.59,5637323,$155.97,$157.73,$155.97
08/01/2023,$156.25,5719138,$155.88,$157.17,$155.87
07/31/2023,$156.30,7955343,$156.40,$157.68,$155.06
07/28/2023,$156.41,9397878,$154.66,$157.48,$154.60
07/27/2023,$152.11,7191578,$154.155,$154.60,$151.915
07/26/2023,$153.94,7013794,$153.12,$154.84,$152.89
07/25/2023,$153.78,5883845,$153.48,$153.86,$152.45
07/24/2023,$153.42,5549519,$152.84,$153.95,$152.30
07/21/2023,$152.93,9938441,$151.15,$153.67,$150.70
07/20/2023,$150.56,6445552,$149.55,$150.75,$148.14
07/19/2023,$150.29,6203584,$149.55,$150.82,$148.86
07/18/2023,$149.27,5355185,$148.64,$150.48,$148.38
07/17/2023,$148.99,4626029,$149.65,$150.16,$148.97
07/14/2023,$150.05,6128878,$149.27,$150.63,$148.73
07/13/2023,$148.95,5561424,$149.00,$149.52,$148.20
07/12/2023,$148.85,6764641,$148.03,$149.40,$147.64
07/11/2023,$148.08,5150361,$148.73,$149.05,$146.96
07/10/2023,$148.86,5529210,$148.94,$150.32,$148.74
07/07/2023,$148.80,9169548,$151.71,$151.92,$148.75
07/06/2023,$151.99,7958486,$151.20,$152.19,$150.7601
07/05/2023,$152.24,8280120,$151.63,$152.46,$151.44
07/03/2023,$152.50,3996098,$151.48,$152.53,$150.47
06/30/2023,$151.74,7058273,$149.83,$152.07,$149.79
06/29/2023,$149.38,7343034,$148.48,$149.70,$147.10
06/28/2023,$149.99,6733301,$149.33,$150.30,$147.96
06/27/2023,$150.02,5445569,$148.44,$150.17,$148.39
06/26/2023,$148.61,4353067,$148.10,$148.97,$146.72
06/23/2023,$148.46,13843540,$150.25,$150.5339,$147.96
06/22/2023,$149.95,6666932,$150.35,$151.10,$149.475
06/21/2023,$149.44,4649893,$148.26,$149.605,$147.87
06/20/2023,$148.16,5340854,$149.745,$150.28,$148.11
06/16/2023,$149.54,11244930,$148.92,$150.09,$148.90
06/15/2023,$148.45,5862999,$147.17,$148.97,$146.54
06/14/2023,$146.42,5693491,$145.31,$146.885,$144.83
06/13/2023,$145.06,5321204,$144.51,$145.68,$144.275
06/12/2023,$145.41,5354690,$147.00,$147.01,$144.55
06/09/2023,$146.56,5569831,$145.68,$146.7788,$144.73
06/08/2023,$146.44,4864149,$145.34,$146.65,$144.92
06/07/2023,$144.80,6194620,$144.01,$145.12,$143.4749
06/06/2023,$144.49,4636045,$146.07,$146.31,$143.55
06/05/2023,$145.94,4753665,$146.05,$147.85,$145.73
06/02/2023,$146.52,6124403,$144.51,$146.68,$144.39
06/01/2023,$143.96,6091064,$143.25,$144.1199,$142.45
05/31/2023,$142.50,19854790,$143.16,$143.98,$141.90
05/30/2023,$143.18,5561037,$143.86,$144.04,$142.35
05/26/2023,$145.40,4716495,$145.33,$146.01,$144.725
05/25/2023,$145.39,6510519,$145.49,$146.21,$144.35
05/24/2023,$146.33,5755426,$147.59,$148.20,$146.09
05/23/2023,$147.55,6116037,$148.79,$148.88,$147.07
05/22/2023,$149.16,7876207,$152.50,$152.60,$148.83
05/19/2023,$153.17,4754120,$152.47,$153.32,$151.84
05/18/2023,$152.53,6997610,$153.31,$153.65,$151.60
05/17/2023,$155.08,4287036,$156.26,$156.56,$153.90
05/16/2023,$155.74,5591579,$155.87,$156.92,$154.93
05/15/2023,$156.01,5414904,$156.61,$156.75,$154.64
05/12/2023,$155.96,5252889,$154.695,$156.05,$154.39
05/11/2023,$154.39,3495324,$154.81,$154.89,$153.39
05/10/2023,$154.03,4754854,$153.45,$154.32,$152.44
05/09/2023,$153.71,4472097,$155.85,$155.98,$153.58
05/08/2023,$155.30,4950679,$155.35,$155.73,$154.87
05/05/2023,$156.03,3989157,$155.40,$156.31,$154.69
05/04/2023,$155.51,4892639,$156.10,$156.60,$155.09
05/03/2023,$156.23,5775009,$156.64,$157.57,$155.43
05/02/2023,$156.43,5262908,$156.59,$156.93,$155.67
05/01/2023,$156.57,3844761,$156.03,$157.395,$155.80
04/28/2023,$156.38,5754704,$156.275,$157.37,$155.76
04/27/2023,$156.47,4805563,$155.30,$156.61,$155.01
04/26/2023,$154.58,4843927,$155.30,$156.00,$154.34
04/25/2023,$156.39,8341759,$156.51,$157.94,$155.79
04/24/2023,$156.35,8109763,$155.22,$157.25,$155.22
04/21/2023,$156.07,14876930,$154.94,$158.11,$154.50
04/20/2023,$150.85,5370911,$150.37,$151.36,$150.365
04/19/2023,$151.24,3837607,$151.17,$151.90,$150.71
04/18/2023,$151.21,4158392,$150.98,$151.59,$150.105
